"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A^∨B)_P(¬A∨B)_P(¬B∨¬A)"
"312","1_3_4_2","3_1_2_4","2_4_3_1"
"313","2_3_1_4","3_2_1_4","2_4_3_1"
"314","4_1_2_3","2_4_3_1","4_3_1_2"
"315","4_1_2_3","3_4_2_1","4_2_1_3"
"316","4_1_2_3","2_4_3_1","4_2_1_3"
"317","3_1_4_2","2_1_4_3","2_4_3_1"
"318","1_4_2_3","2_1_3_4","1_3_4_2"
"319","1_4_2_3","3_1_2_4","1_2_4_3"
"320","1_4_2_3","2_1_3_4","1_2_4_3"
"321","4_2_1_3","2_4_3_1","3_2_1_4"
"322","1_4_2_3","1_3_4_2","3_1_2_4"
"323","1_4_2_3","1_2_4_3","1_2_3_4"
"324","4_1_3_2","2_4_3_1","3_2_1_4"
"325","1_4_3_2","1_2_3_4","2_1_3_4"
"326","2_1_4_3","2_3_4_1","4_1_2_3"
"327","1_4_2_3","1_2_4_3","2_1_3_4"
"328","1_4_3_2","1_2_4_3","1_2_4_3"
"329","1_4_3_2","1_2_4_3","1_2_3_4"
"330","3_4_1_2","1_3_4_2","4_2_1_3"
"331","1_4_2_3","1_2_4_3","3_1_2_4"
"332","4_2_3_1","2_3_4_1","3_2_1_4"
"333","1_2_4_3","1_3_4_2","4_1_2_3"
"334","1_4_2_3","2_1_3_4","1_2_3_4"
"335","1_3_2_4","2_4_3_1","3_1_2_4"
"336","1_4_3_2","1_2_3_4","1_2_4_3"
"337","2_3_4_1","2_4_3_1","4_2_1_3"
"338","1_4_2_3","2_1_3_4","2_1_3_4"
"339","2_1_4_3","2_3_4_1","3_1_2_4"
"340","4_2_1_3","2_4_3_1","3_1_2_4"
"341","1_4_2_3","1_3_4_2","2_1_3_4"
"342","3_2_4_1","1_3_4_2","4_2_1_3"
"343","1_4_2_3","1_2_3_4","1_2_4_3"
